(404, ('64.6875', '63.8', '159944'))
(405, ('77.0625', '28.6', '95731.2'))
(406, ('65.8125', '33.2', '99306.2'))
(407, ('63.5625', '38.2', '108181'))
(408, ('62.4375', '32.2', '95618.8'))
(409, ('64.125', '35.4', '102863'))
(410, ('79.3125', '26.4', '92456.2'))
(411, ('67.5', '35.6', '104950'))
(412, ('65.25', '34.6', '101825'))
(413, ('63', '51', '133500'))
(414, ('65.25', '37', '106625'))
(415, ('64.6875', '53.6', '139544'))
(416, ('61.3125', '36.4', '103456'))
(417, ('73.6875', '28.8', '94443.8'))
(418, ('65.25', '46', '124625'))
(419, ('67.5', '47.2', '128150'))
(420, ('78.75', '27.8', '94975'))
(421, ('63.5625', '33.6', '98981.2'))
(422, ('inf', 'inf', 'inf'))
(423, ('64.125', '54.4', '140862'))
(424, ('68.625', '32.6', '99512.5'))
(425, ('inf', 'inf', 'inf'))
(426, ('63.5625', '34.8', '101381'))
(427, ('62.4375', '36.2', '103619'))
(428, ('63', '50.4', '132300'))
(429, ('70.3125', '34.2', '103556'))
(430, ('65.8125', '44.2', '121306'))
(431, ('65.8125', '61.2', '155306'))
(432, ('65.25', '36.2', '105025'))
(433, ('77.0625', '30.8', '100131'))
(434, ('70.875', '31', '97437.5'))
(435, ('72.5625', '30.2', '96681.2'))
(436, ('80.4375', '28.2', '96618.8'))
(437, ('72.5625', '32', '100281'))
(438, ('64.6875', '34.2', '100744'))
(439, ('66.375', '33', '99187.5'))
(440, ('62.4375', '44.2', '119619'))
(441, ('66.9375', '32.6', '98668.8'))
(442, ('79.3125', '28.4', '96456.2'))
(443, ('61.875', '55.6', '142138'))
(444, ('64.6875', '40.8', '113944'))
(445, ('77.625', '27.4', '93612.5'))
(446, ('79.3125', '26.2', '92056.2'))
(447, ('66.375', '38.2', '109588'))
(448, ('64.125', '37.4', '106863'))
(449, ('68.0625', '35.6', '105231'))
(450, ('67.5', '31.8', '97350'))
(451, ('70.875', '30.8', '97037.5'))
(452, ('78.75', '28', '95375'))
(453, ('65.25', '44.6', '121825'))
(454, ('78.75', '28.8', '96975'))
(455, ('63', '44.2', '119900'))
(456, ('71.4375', '33', '101719'))
(457, ('64.6875', '35.8', '103944'))
(458, ('71.4375', '31', '97718.8'))
(459, ('77.0625', '27.6', '93731.2'))
(460, ('62.4375', '51.8', '134819'))
(461, ('68.625', '31.4', '97112.5'))
(462, ('66.9375', '35.6', '104669'))
(463, ('73.125', '31.8', '100162'))
(464, ('64.6875', '33.2', '98743.8'))
(465, ('78.75', '27', '93375'))
(466, ('62.4375', '39.4', '110019'))
(467, ('inf', 'inf', 'inf'))
(468, ('64.125', '38', '108063'))
(469, ('77.625', '29.2', '97212.5'))
(470, ('inf', 'inf', 'inf'))
(471, ('63', '42.4', '116300'))
(472, ('64.6875', '47.6', '127544'))
(473, ('65.8125', '36.8', '106506'))
(474, ('66.9375', '47.2', '127869'))
(475, ('inf', 'inf', 'inf'))
(476, ('75.9375', '28', '93968.8'))
(477, ('65.25', '50', '132625'))
(478, ('78.1875', '27.6', '94293.8'))
(479, ('74.25', '29.4', '95925'))
(480, ('64.125', '47.6', '127263'))
(481, ('65.8125', '34.6', '102106'))
(482, ('67.5', '35.2', '104150'))
(483, ('inf', 'inf', 'inf'))
(484, ('82.125', '27', '95062.5'))
(485, ('72.5625', '28.8', '93881.2'))
(486, ('74.25', '32.8', '102725'))
(487, ('64.125', '42.6', '117263'))
(488, ('63', '36.8', '105100'))
(489, ('62.4375', '43.6', '118419'))
(490, ('79.3125', '27.6', '94856.2'))
(491, ('inf', 'inf', 'inf'))
(492, ('63.5625', '35.2', '102181'))
(493, ('62.4375', '42.4', '116019'))
(494, ('61.3125', '67.2', '165056'))
(495, ('66.375', '49', '131188'))
(496, ('81.5625', '27.2', '95181.2'))
(497, ('inf', 'inf', 'inf'))
(498, ('75.375', '26.8', '91287.5'))
(499, ('63', '37.4', '106300'))
(500, ('61.875', '64.4', '159738'))
(501, ('65.25', '35.8', '104225'))
(502, ('62.4375', '38.2', '107619'))
(503, ('72', '32.4', '100800'))
